  PID TTY      STAT   TIME COMMAND
20508 pts/4    R+     0:00 ./prog1
20509 pts/4    R+     0:00 ./prog1
20510 pts/4    R+     0:00 ./prog1
20511 pts/4    R+     0:00 ./prog1
20512 pts/4    R+     0:00 ./prog1
20513 pts/4    R+     0:00 ./prog1
20514 pts/4    R+     0:00 ./prog1
20515 pts/4    R+     0:00 ./prog1
20516 pts/4    R+     0:00 ./prog1
20517 pts/4    R+     0:00 ./prog1
20518 pts/4    R+     0:00 ./prog1
20519 pts/4    R+     0:00 ./prog1
20520 pts/4    R+     0:00 ./prog1
20521 pts/4    R+     0:00 ./prog1
20522 pts/4    R+     0:00 ./prog1
20523 pts/4    R+     0:00 ./prog1
20524 pts/4    R+     0:00 ./prog1
20525 pts/4    R+     0:00 ./prog1
20526 pts/4    R+     0:00 ./prog1
20527 pts/4    R+     0:00 ./prog1
20528 pts/4    R+     0:00 ./prog1
20529 pts/4    R+     0:00 ./prog1
20530 pts/4    R+     0:00 ./prog1
20531 pts/4    R+     0:00 ./prog1
20532 pts/4    R+     0:00 ./prog1
20533 pts/4    R+     0:00 ./prog1
20534 pts/4    R+     0:00 ./prog1
20535 pts/4    R+     0:00 ./prog1
20536 pts/4    R+     0:00 ./prog1
20537 pts/4    R+     0:00 ./prog1
20538 pts/4    R+     0:00 ./prog1
20539 pts/4    R+     0:00 ./prog1
20540 pts/4    R+     0:00 ./prog1
20541 pts/4    R+     0:00 ./prog1
20542 pts/4    R+     0:00 ./prog1
20543 pts/4    R+     0:00 ./prog1
20544 pts/4    R+     0:00 ./prog1
20545 pts/4    R+     0:00 ./prog1
20546 pts/4    R+     0:00 ./prog1
20547 pts/4    R+     0:00 ./prog1
20548 pts/4    R+     0:00 ./prog1
20549 pts/4    R+     0:00 ./prog1
20550 pts/4    R+     0:00 ./prog1
20551 pts/4    R+     0:00 ./prog1
20552 pts/4    R+     0:00 ./prog1
20553 pts/4    R+     0:00 ./prog1
20554 pts/4    R+     0:00 ./prog1
20555 pts/4    R+     0:00 ./prog1
20556 pts/4    R+     0:00 ./prog1
20557 pts/4    R+     0:00 ./prog1
20558 pts/4    R+     0:00 ./prog1
20559 pts/4    R+     0:00 ./prog1
20560 pts/4    R+     0:00 ./prog1
20561 pts/4    R+     0:00 ./prog1
20562 pts/4    R+     0:00 ./prog1
20563 pts/4    R+     0:00 ./prog1
20564 pts/4    R+     0:00 ./prog1
20565 pts/4    R+     0:00 ./prog1
20566 pts/4    R+     0:00 ./prog1
20567 pts/4    R+     0:00 ./prog1
20568 pts/4    R+     0:00 ./prog1
20569 pts/4    R+     0:00 ./prog1
20570 pts/4    R+     0:00 ./prog1
20571 pts/4    R+     0:00 ./prog1
20572 pts/4    R+     0:00 ./prog1
20573 pts/4    R+     0:00 ./prog1
20574 pts/4    R+     0:00 ./prog1
20575 pts/4    R+     0:00 ./prog1
20576 pts/4    R+     0:00 ./prog1
20577 pts/4    R+     0:00 ./prog1
20578 pts/4    R+     0:00 ./prog1
20579 pts/4    R+     0:00 ./prog1
20580 pts/4    R+     0:00 ./prog1
20581 pts/4    R+     0:00 ./prog1
20582 pts/4    R+     0:00 ./prog1
20583 pts/4    R+     0:00 ./prog1
20584 pts/4    R+     0:00 ./prog1
20585 pts/4    R+     0:00 ./prog1
20586 pts/4    R+     0:00 ./prog1
20587 pts/4    R+     0:00 ./prog1
20588 pts/4    R+     0:00 ./prog1
20589 pts/4    R+     0:00 ./prog1
20590 pts/4    R+     0:00 ./prog1
20591 pts/4    R+     0:00 ./prog1
20592 pts/4    R+     0:00 ./prog1
20593 pts/4    R+     0:00 ./prog1
20594 pts/4    R+     0:00 ./prog1
20595 pts/4    R+     0:00 ./prog1
20596 pts/4    R+     0:00 ./prog1
20597 pts/4    R+     0:00 ./prog1
20598 pts/4    R+     0:00 ./prog1
20599 pts/4    R+     0:00 ./prog1
20600 pts/4    R+     0:00 ./prog1
20601 pts/4    R+     0:00 ./prog1
20602 pts/4    R+     0:00 ./prog1
20603 pts/4    R+     0:00 ./prog1
20604 pts/4    R+     0:00 ./prog1
