 2147 ?        Sl     0:06 gedit /home/mohit_linux/Desktop/OS_PROG/prog1.c
24564 pts/4    R+     0:00 ./prog1
24565 pts/4    R+     0:00 ./prog1
24566 pts/4    R+     0:00 ./prog1
24567 pts/4    R+     0:00 ./prog1
24568 pts/4    R+     0:00 ./prog1
24569 pts/4    R+     0:00 ./prog1
24570 pts/4    R+     0:00 ./prog1
24571 pts/4    R+     0:00 ./prog1
24572 pts/4    R+     0:00 ./prog1
24573 pts/4    R+     0:00 ./prog1
24574 pts/4    R+     0:00 ./prog1
24575 pts/4    R+     0:00 ./prog1
24576 pts/4    R+     0:00 ./prog1
24577 pts/4    R+     0:00 ./prog1
24578 pts/4    R+     0:00 ./prog1
24579 pts/4    R+     0:00 ./prog1
24580 pts/4    R+     0:00 ./prog1
24581 pts/4    R+     0:00 ./prog1
24582 pts/4    R+     0:00 ./prog1
24583 pts/4    R+     0:00 ./prog1
24584 pts/4    R+     0:00 ./prog1
24585 pts/4    R+     0:00 ./prog1
24586 pts/4    R+     0:00 ./prog1
24587 pts/4    R+     0:00 ./prog1
24588 pts/4    R+     0:00 ./prog1
24589 pts/4    R+     0:00 ./prog1
24590 pts/4    R+     0:00 ./prog1
24591 pts/4    R+     0:00 ./prog1
24592 pts/4    R+     0:00 ./prog1
24593 pts/4    R+     0:00 ./prog1
24594 pts/4    R+     0:00 ./prog1
24595 pts/4    R+     0:00 ./prog1
24596 pts/4    R+     0:00 ./prog1
24597 pts/4    R+     0:00 ./prog1
24598 pts/4    R+     0:00 ./prog1
24599 pts/4    R+     0:00 ./prog1
24600 pts/4    R+     0:00 ./prog1
24601 pts/4    R+     0:00 ./prog1
24602 pts/4    R+     0:00 ./prog1
24603 pts/4    R+     0:00 ./prog1
